,SMILES
136,CCN(CC)CCC1(c2ccccc2)C(=O)Oc2ccccc21
137,CCCCCCCCCCCCCCCCN
138,COc1cc2c(cc1OC)[C@H](c1cc(OC)c(OC)c(OC)c1)[N@@+](C)(CCCOC(=O)/C=C(\Cl)C(=O)OCCC[N@+]1(C)CCc3cc(OC)c(OC)cc3[C@H]1Cc1cc(OC)c(OC)c(OC)c1)CC2
139,CC(C)NC[C@H](O)COc1cccc2ccccc12
140,Cc1ccccc1C(=O)NP(N)(N)=O
141,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC
142,CC/N=C(/NCC)NCCCC[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(Cl)cc1)NC(=O)[C@@H](Cc1ccc2ccccc2c1)NC(C)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
143,CC[C@H](C)C1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@H](NC(C)=O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(C=C[C@H](C)C(C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@]54O)C[C@@H]2OC)O[C@@H](C)[C@H]1NC(C)=O
144,c1ccc2nc(N3CCNCC3)ccc2c1
145,CC(C)(Cc1ccc(Oc2ncccc2C#N)cc1)NC[C@H](O)COc1ccccc1-c1cccs1
146,CCc1nncn1C1CCCCC1
147,CO[C@H]1O[C@H](CN2C[C@H](O)[C@@H](O)[C@H](O)[C@H]2CO)[C@@H](O)[C@H](O)[C@H]1O
148,CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC
149,O=c1[nH]c2ccccc2c2cc(CO)nn12
150,CC(C)C[C@H](C(=O)NCC(N)=O)N(C)C(=O)[C@@H]1CCCN1
151,COc1ccc([C@@H]2Sc3cc(Cl)ccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1
152,COc1nc(C)ccc1-c1cc(Nc2cncc(O[C@@H]3CCCNC3)n2)n[nH]1
153,CCOC(=O)C(c1ccccc1)C1NC(C(=O)O)CS1
154,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)CCOC)C(C)C)C2)C(C)C
155,CNc1c2c(nn1C)CCCC2
156,CCCCCCCCCCCCCCCCCC(=O)OCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
157,CC[N+](CC)(CC)CCOC(=O)c1cc(OC)c(OC)c(OC)c1
158,NCCSC(C[N+](=O)[O-])c1ccccc1Cl
159,CCOC(=O)NNc1nncc2ccccc12
160,CN(C)CCCN1c2ccccc2CC(=O)c2ccccc21
161,CCCC(CCC)C(=O)O[C@H]1C[C@H]2CC[C@@H](C1)[N+]2(C)C(C)C
162,O=c1[nH]c2ccccc2c(=O)n1CCCN1CCN(c2cccc(Cl)c2)CC1
163,C#C[C@H](CC(=O)OCC)NC(=O)CCC(=O)Nc1ccc(C(=N)N)cc1
164,CC1c2ccccc2Cn2cc3c(c21)C(=O)c1cccc(OP(=O)(O)OCc2ccccc2)c1C3=O
165,c1ccc2[nH]cnc2c1
166,O=C1N[C@@](c2ccc(OCCCC(F)(F)F)cc2F)(C(F)(F)F)CC(c2ccn(CC3CC3)n2)=C1n1nn[nH]c1=O
167,CC(=O)NS(=O)(=O)c1cc(N)ccc1S(=O)(=O)c1ccc(N)cc1
168,Cc1cccc(C)c1NC(=O)C[N+]1(Cc2ccccc2)CCCCCC1
169,CC(O)C(=O)OP(=O)(O)O
170,CC[N+]1(CCOC(=O)c2cc(OC)c(OC)c(OC)c2)CCCC1
171,CC(C)NC(C)C(=O)c1ccc(O)c(O)c1
172,C=CCCCCCCCCC(=O)NCCC[N+](C)(C)C
173,CCCCCCCCCCCC(=O)c1ccc(OCC[N+](C)(C)Cc2ccccc2)cc1
174,C[C@]12CC[C@H]3[C@@H](CC=C4CC5(CC[C@@]43CCN)OCCO5)[C@@H]1CCC21OCCO1
175,Cc1ccc(/N=N/c2c(O)ccc(/N=N/c3ccc(S(=O)(=O)O)cc3)c2O)c(C)c1
176,C[N+](C)(C)C1CCC(CC2CCC([N+](C)(C)C)CC2)CC1
177,Clc1ccc(COC(C[n+]2ccn(CCc3ccccc3)c2)c2ccc(Cl)cc2Cl)c(Cl)c1
178,N[C@@H](CC(=O)[O-])C(=O)O.N[C@@H](CC(=O)[O-])C(=O)O.[K+].[K+]
179,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@H]4Cc5ccccc5C[C@@]4(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F
180,C1CNCCN1.O=P(O)(O)O
181,Cc1c(N(CC(C)C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C
182,CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)OCC6CCC[N+]6(C)C)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12
183,C[N+](C)(C)CCOC(=O)C(O)(c1ccccc1)C1CC2C=CC1C2
184,Clc1ccc([I+]c2ccc(Cl)cc2Cl)c(Cl)c1
185,C[N+](C)(C)CCOC(=O)NCCCCCCNC(=O)OCC[N+](C)(C)C
186,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)[C@H](O)c4ccccc4)[C@H]3SC2)s1
187,CNCCNc1ccc2c3c(nn2CCNCCO)-c2cnccc2C(=O)c13
188,CCCC(=O)Nc1c(I)cc(I)c(CC(CC)C(=O)O)c1I
189,O=C(O)CCCNC(=O)c1ccc(Cl)cc1O
190,Oc1c(Cl)cc(Cl)c2cccnc12.Oc1c(Cl)ccc2cccnc12.Oc1ccc(Cl)c2cccnc12
191,O=P[O-].[Na+]
192,CC1CCCC(C)N1CCCCNC(=O)C(Oc1ccccc1)c1ccccc1
193,Nc1c(CC(=O)O)cccc1C(=O)c1ccccc1
194,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1N
195,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(CI)[C@H]3CC[C@]12C
196,COc1cc([S+](C)[O-])ccc1-c1nc2cnccc2[nH]1
197,OC(CCl)CN1CC[N+]2(CC1)CC[N+]1(CCN(CC(O)CCl)CC1)CC2
198,CCN1/C(=C/C=C/c2sc3ccccc3[n+]2CC)Sc2ccccc21
199,N=C(NO)NCC[C@H](N)C(=O)O
200,O=C(CCCN1CCC(O)(c2ccc(Cl)c(C(F)(F)F)c2)CC1)c1ccc(F)cc1
201,COc1ccc(OC)c(C(O)C(C)NC(C)(C)C)c1
202,C[N+](C)(C)CCOCCF
203,COc1ccc(CCNC(C)C(O)c2ccc(O)c(NS(C)(=O)=O)c2)cc1
204,CC[N+](C)(CC)CCOC(C)(c1ccccc1)C1CC2C=CC1C2
205,O=C(NCCCNC(=O)[C@H](OS(=O)(=O)O)[C@@H](OS(=O)(=O)O)[C@H](O[C@@H]1O[C@H](COS(=O)(=O)O)[C@H](OS(=O)(=O)O)[C@H](OS(=O)(=O)O)[C@H]1OS(=O)(=O)O)[C@@H](COS(=O)(=O)O)OS(=O)(=O)O)[C@H](OS(=O)(=O)O)[C@@H](OS(=O)(=O)O)[C@H](O[C@@H]1O[C@H](COS(=O)(=O)O)[C@H](OS(=O)(=O)O)[C@H](OS(=O)(=O)O)[C@H]1OS(=O)(=O)O)[C@@H](COS(=O)(=O)O)OS(=O)(=O)O
206,CCN(CC)CCOC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)Cc3ccccc3)[C@H]2SC1(C)C
207,C/C=C(\c1ccccc1)c1ccc2nc(N)n(S(=O)(=O)C(C)C)c2c1
208,CCNCC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
209,CC(C)(CNC(N)=O)NCC(O)COC(=O)c1ccccc1F
210,Cc1cccc(C)c1NC(=O)/N=C1\CCCN1C
